rank,song,artist,year,artist_clean,duration_ms,explicit
86,The Scotts,The Scotts (Travis Scott and Kid Cudi),2020,The Scotts (Travis Scott,165977,True
87,Juicy,Doja Cat and Tyga,2020,Doja Cat,203093,True
88,Be Like That,"Kane Brown, Swae Lee and Khalid",2020,Kane Brown,191406,False
89,Homesick,Kane Brown,2020,Kane Brown,205405,False
90,Rags2Riches,Rod Wave featuring ATR Son Son,2020,Rod Wave,235987,True
91,Bluebird,Miranda Lambert,2020,Miranda Lambert,209760,False
92,Wishing Well,Juice Wrld,2020,Juice Wrld,194621,True
93,Does to Me,Luke Combs featuring Eric Church,2020,Luke Combs,223760,False
94,Pussy Fairy (OTW),Jhené Aiko,2020,Jhené Aiko,181860,True
95,ILY (I Love You Baby),Surf Mesa featuring Emilee,2020,Surf Mesa,176546,False
96,More Than My Hometown,Morgan Wallen,2020,Morgan Wallen,216573,False
97,Lovin' on You,Luke Combs,2020,Luke Combs,195093,False
98,Said Sum,Moneybagg Yo,2020,Moneybagg Yo,155168,True
99,Slide,H.E.R. featuring YG,2020,H.E.R.,238321,True
100,Walk Em Down,NLE Choppa featuring Roddy Ricch,2020,NLE Choppa,173288,True
1,Die with a Smile,Lady Gaga and Bruno Mars,2025,Lady Gaga,251667,False
2,Luther,Kendrick Lamar and SZA,2025,Kendrick Lamar,177598,False
3,A Bar Song (Tipsy),Shaboozey,2025,Shaboozey,171291,True
4,Lose Control,Teddy Swims,2025,Teddy Swims,210688,False
5,Birds of a Feather,Billie Eilish,2025,Billie Eilish,210373,False
6,Beautiful Things,Benson Boone,2025,Benson Boone,180304,False
7,Ordinary,Alex Warren,2025,Alex Warren,186964,False
8,I Had Some Help,Post Malone featuring Morgan Wallen,2025,Post Malone,178205,True
9,APT.,Rosé and Bruno Mars,2025,Rosé,169917,False
10,Pink Pony Club,Chappell Roan,2025,Chappell Roan,258034,False
11,Love Somebody,Morgan Wallen,2025,Morgan Wallen,204828,False
12,Espresso,Sabrina Carpenter,2025,Sabrina Carpenter,175459,False
13,I'm the Problem,Morgan Wallen,2025,Morgan Wallen,177811,False
14,That's So True,Gracie Abrams,2025,Gracie Abrams,166300,True
15,TV Off,Kendrick Lamar featuring Lefty Gunplay,2025,Kendrick Lamar,220690,True
16,Timeless,The Weeknd and Playboi Carti,2025,The Weeknd,256000,True
17,Not Like Us,Kendrick Lamar,2025,Kendrick Lamar,274192,True
18,Just in Case,Morgan Wallen,2025,Morgan Wallen,166206,False
19,Taste,Sabrina Carpenter,2025,Sabrina Carpenter,157279,False
20,Squabble Up,Kendrick Lamar,2025,Kendrick Lamar,157992,True
21,30 for 30,SZA and Kendrick Lamar,2025,SZA,278277,True
22,Mutt,Leon Thomas,2025,Leon Thomas,193333,True
23,Good News,Shaboozey,2025,Shaboozey,199209,False
24,Nokia,Drake,2025,Drake,241023,True
25,Golden,"Huntrix: Ejae, Audrey Nuna and Rei Ami",2025,Huntrix,194607,False
26,Wildflower,Billie Eilish,2025,Billie Eilish,261466,False
27,What I Want,Morgan Wallen featuring Tate McRae,2025,Morgan Wallen,184517,False
28,Messy,Lola Young,2025,Lola Young,284068,True
29,Stargazing,Myles Smith,2025,Myles Smith,172533,False
30,Love Me Not,Ravyn Lenae,2025,Ravyn Lenae,213466,False
31,"Good Luck, Babe!",Chappell Roan,2025,Chappell Roan,218423,False
32,No One Noticed,The Marías,2025,The Marías,236906,False
33,All the Way,BigXthaPlug featuring Bailey Zimmerman,2025,BigXthaPlug,165000,True
34,Too Sweet,Hozier,2025,Hozier,251424,False
35,Worst Way,Riley Green,2025,Riley Green,220558,False
36,Sailor Song,Gigi Perez,2025,Gigi Perez,211978,False
37,Sorry I'm Here for Someone Else,Benson Boone,2025,Benson Boone,156582,False
38,Manchild,Sabrina Carpenter,2025,Sabrina Carpenter,213645,True
39,Anxiety,Doechii,2025,Doechii,249302,True
40,I Got Better,Morgan Wallen,2025,Morgan Wallen,204963,False
41,Sticky,"Tyler, the Creator featuring GloRilla, Sexyy Red and Lil Wayne",2025,Tyler,255915,True
42,Undressed,Sombr,2025,Sombr,182088,False
43,I Never Lie,Zach Top,2025,Zach Top,224906,False
44,Back to Friends,Sombr,2025,Sombr,199032,False
45,Bed Chem,Sabrina Carpenter,2025,Sabrina Carpenter,171869,False
46,Sports Car,Tate McRae,2025,Tate McRae,165045,False
47,Mystical Magical,Benson Boone,2025,Benson Boone,165746,False
48,Whatchu Kno About Me,GloRilla and Sexyy Red,2025,GloRilla,149461,True
49,Indigo,Sam Barber featuring Avery Anna,2025,Sam Barber,286634,False
50,Please Please Please,Sabrina Carpenter,2025,Sabrina Carpenter,186365,True
51,DTMF,Bad Bunny,2025,Bad Bunny,237117,True
52,Blue Strips,Jessie Murph,2025,Jessie Murph,147209,False
53,Peekaboo,Kendrick Lamar featuring AzChike,2025,Kendrick Lamar,155917,True
54,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo and Samuil Lee",2025,Saja Boys,191537,False
55,High Road,Koe Wetzel featuring Jessie Murph,2025,Koe Wetzel,178416,True
56,Abracadabra,Lady Gaga,2025,Lady Gaga,223398,False
57,Who,Jimin,2025,Jimin,170887,False
58,Burning Blue,Mariah the Scientist,2025,Mariah the Scientist,205724,False
59,All I Want for Christmas Is You,Mariah Carey,2025,Mariah Carey,241562,False
60,Daisies,Justin Bieber,2025,Justin Bieber,176453,False
61,Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo and Samuil Lee",2025,Saja Boys,150686,False
62,Like Him,"Tyler, the Creator featuring Lola Young",2025,Tyler,278014,True
63,Residuals,Chris Brown,2025,Chris Brown,215178,False
64,Smile,Morgan Wallen,2025,Morgan Wallen,224127,False
65,Last Christmas,Wham!,2025,Wham!,262960,False
66,Am I Okay?,Megan Moroney,2025,Megan Moroney,235002,False
67,Rockin' Around the Christmas Tree,Brenda Lee,2025,Brenda Lee,126266,False
68,How It's Done,"Huntrix: Ejae, Audrey Nuna and Rei Ami",2025,Huntrix,176059,False
69,Happen to Me,Russell Dickerson,2025,Russell Dickerson,183615,False
70,Baile Inolvidable,Bad Bunny,2025,Bad Bunny,367725,True
71,Weren't for the Wind,Ella Langley,2025,Ella Langley,193666,False
72,I Ain't Comin' Back,Morgan Wallen featuring Post Malone,2025,Morgan Wallen,175271,False
73,Cry for Me,The Weeknd,2025,The Weeknd,224136,True
74,Bad Dreams,Teddy Swims,2025,Teddy Swims,184577,False
75,Denial Is a River,Doechii,2025,Doechii,159586,True
76,BMF,SZA,2025,SZA,180746,True
77,Eoo,Bad Bunny,2025,Bad Bunny,204768,True
78,I'm Gonna Love You,Cody Johnson and Carrie Underwood,2025,Cody Johnson,188106,False
79,I Am Not Okay,Jelly Roll,2025,Jelly Roll,198066,False
80,Backup Plan,Bailey Zimmerman and Luke Combs,2025,Bailey Zimmerman,181518,False
81,Jingle Bell Rock,Bobby Helms,2025,Bobby Helms,130973,False
82,Revolving Door,Tate McRae,2025,Tate McRae,180032,True
83,What It Sounds Like,"Huntrix: Ejae, Audrey Nuna and Rei Ami",2025,Huntrix,250268,False
84,Hard Fought Hallelujah,Brandon Lake and Jelly Roll,2025,Brandon Lake,316002,False
85,Somebody Loves Me,PartyNextDoor and Drake,2025,PartyNextDoor,182767,True
86,Liar,Jelly Roll,2025,Jelly Roll,204933,False
87,Tu Boda,Óscar Maydon and Fuerza Regida,2025,Óscar Maydon,225880,True
88,After All the Bars Are Closed,Thomas Rhett,2025,Thomas Rhett,191839,False
89,Nuevayol,Bad Bunny,2025,Bad Bunny,183685,False
90,20 Cigarettes,Morgan Wallen,2025,Morgan Wallen,160901,False
91,Rather Lie,Playboi Carti and the Weeknd,2025,Playboi Carti,209680,True
92,Free,Ejae and Andrew Choi,2025,Ejae,187963,False
93,Takedown,"Huntrix: Ejae, Audrey Nuna and Rei Ami",2025,Huntrix,182016,False
94,Heart of a Woman,Summer Walker,2025,Summer Walker,171000,True
95,House Again,Hudson Westbrook,2025,Hudson Westbrook,203822,False
96,Dark Thoughts,Lil Tecca,2025,Lil Tecca,136991,True
97,No Pole,Don Toliver,2025,Don Toliver,187613,True
98,Folded,Kehlani,2025,Kehlani,238120,False
99,Superman,Morgan Wallen,2025,Morgan Wallen,188200,False
100,Loco,Netón Vega,2025,Netón Vega,186521,False
