rank,song,artist,year,artist_clean,duration_ms,explicit
89,Homesick,Kane Brown,2020,Kane Brown,205405,False
90,Rags2Riches,Rod Wave featuring ATR Son Son,2020,Rod Wave,235987,True
91,Bluebird,Miranda Lambert,2020,Miranda Lambert,209760,False
92,Wishing Well,Juice Wrld,2020,Juice Wrld,194621,True
93,Does to Me,Luke Combs featuring Eric Church,2020,Luke Combs,223760,False
94,Pussy Fairy (OTW),Jhené Aiko,2020,Jhené Aiko,181860,True
95,ILY (I Love You Baby),Surf Mesa featuring Emilee,2020,Surf Mesa,176546,False
96,More Than My Hometown,Morgan Wallen,2020,Morgan Wallen,216573,False
97,Lovin' on You,Luke Combs,2020,Luke Combs,195093,False
98,Said Sum,Moneybagg Yo,2020,Moneybagg Yo,155168,True
99,Slide,H.E.R. featuring YG,2020,H.E.R.,238321,True
100,Walk Em Down,NLE Choppa featuring Roddy Ricch,2020,NLE Choppa,173288,True
1,Levitating,Dua Lipa,2021,Dua Lipa,203807,False
2,Save Your Tears,The Weeknd and Ariana Grande,2021,The Weeknd,215626,True
3,Blinding Lights,The Weeknd,2021,The Weeknd,200040,False
4,Mood,24kGoldn featuring Iann Dior,2021,24kGoldn,140525,True
5,Good 4 U,Olivia Rodrigo,2021,Olivia Rodrigo,178146,True
6,Kiss Me More,Doja Cat featuring SZA,2021,Doja Cat,208666,True
7,Leave the Door Open,Silk Sonic (Bruno Mars and Anderson .Paak),2021,Silk Sonic (Bruno Mars,242096,False
8,Drivers License,Olivia Rodrigo,2021,Olivia Rodrigo,242013,True
9,Montero (Call Me by Your Name),Lil Nas X,2021,Lil Nas X,137875,True
10,Peaches,Justin Bieber featuring Daniel Caesar and Giveon,2021,Justin Bieber,198081,True
11,Butter,BTS,2021,BTS,164441,False
12,Stay,The Kid Laroi and Justin Bieber,2021,The Kid Laroi,141805,True
13,Deja Vu,Olivia Rodrigo,2021,Olivia Rodrigo,215506,True
14,Positions,Ariana Grande,2021,Ariana Grande,172324,True
15,Bad Habits,Ed Sheeran,2021,Ed Sheeran,230746,False
16,Heat Waves,Glass Animals,2021,Glass Animals,238805,False
17,Without You,The Kid Laroi,2021,The Kid Laroi,161384,True
18,Forever After All,Luke Combs,2021,Luke Combs,232489,False
19,Go Crazy,Chris Brown and Young Thug,2021,Chris Brown,176960,True
20,Astronaut in the Ocean,Masked Wolf,2021,Masked Wolf,132780,True
21,34+35,Ariana Grande featuring Doja Cat and Megan Thee Stallion,2021,Ariana Grande,173710,True
22,What You Know Bout Love,Pop Smoke,2021,Pop Smoke,160000,True
23,My Ex's Best Friend,Machine Gun Kelly featuring Blackbear,2021,Machine Gun Kelly,139460,True
24,Industry Baby,Lil Nas X and Jack Harlow,2021,Lil Nas X,212000,True
25,Therefore I Am,Billie Eilish,2021,Billie Eilish,173539,False
26,Up,Cardi B,2021,Cardi B,156946,True
27,Fancy Like,Walker Hayes,2021,Walker Hayes,161853,False
28,Dakiti,Bad Bunny and Jhay Cortez,2021,Bad Bunny,205090,True
29,Best Friend,Saweetie featuring Doja Cat,2021,Saweetie,155883,True
30,Rapstar,Polo G,2021,Polo G,165925,True
31,Heartbreak Anniversary,Giveon,2021,Giveon,196794,False
32,For the Night,Pop Smoke featuring Lil Baby and DaBaby,2021,Pop Smoke,190476,True
33,Calling My Phone,Lil Tjay and 6lack,2021,Lil Tjay,205458,True
34,Beautiful Mistakes,Maroon 5 featuring Megan Thee Stallion,2021,Maroon 5,227395,False
35,Holy,Justin Bieber featuring Chance the Rapper,2021,Justin Bieber,212093,False
36,On Me,Lil Baby,2021,Lil Baby,135959,True
37,You Broke Me First,Tate McRae,2021,Tate McRae,170234,True
38,Traitor,Olivia Rodrigo,2021,Olivia Rodrigo,229226,False
39,Back in Blood,Pooh Shiesty featuring Lil Durk,2021,Pooh Shiesty,184489,True
40,I Hope,Gabby Barrett featuring Charlie Puth,2021,Gabby Barrett,210772,False
41,Dynamite,BTS,2021,BTS,199053,False
42,Wockesha,Moneybagg Yo,2021,Moneybagg Yo,180930,True
43,You Right,Doja Cat and the Weeknd,2021,Doja Cat,186173,True
44,Beat Box 2 / Beat Box 3,SpotemGottem featuring Pooh Shiesty / SpotemGottem featuring DaBaby,2021,SpotemGottem,181087,True
45,Laugh Now Cry Later,Drake featuring Lil Durk,2021,Drake,261492,True
46,Need to Know,Doja Cat,2021,Doja Cat,210560,True
47,Wants and Needs,Drake featuring Lil Baby,2021,Drake,192956,True
48,Way 2 Sexy,Drake featuring Future and Young Thug,2021,Drake,257604,True
49,Telepatía,Kali Uchis,2021,Kali Uchis,160191,False
50,Whoopty,CJ,2021,CJ,123262,True
51,Lemonade,Internet Money and Gunna featuring Don Toliver and Nav,2021,Internet Money,195428,True
52,Good Days,SZA,2021,SZA,279203,True
53,Starting Over,Chris Stapleton,2021,Chris Stapleton,240413,False
54,Body,Megan Thee Stallion,2021,Megan Thee Stallion,171067,True
55,Willow,Taylor Swift,2021,Taylor Swift,214706,False
56,Bang!,AJR,2021,AJR,170858,False
57,Better Together,Luke Combs,2021,Luke Combs,217573,False
58,You're Mines Still,Yung Bleu featuring Drake,2021,Yung Bleu,226220,True
59,Every Chance I Get,DJ Khaled featuring Lil Baby and Lil Durk,2021,DJ Khaled,236524,True
60,Essence,Wizkid featuring Justin Bieber and Tems,2021,Wizkid,249033,False
61,Chasing After You,Ryan Hurd and Maren Morris,2021,Ryan Hurd,207673,False
62,The Good Ones,Gabby Barrett,2021,Gabby Barrett,215140,False
63,Leave Before You Love Me,Marshmello and Jonas Brothers,2021,Marshmello,154983,False
64,Glad You Exist,Dan + Shay,2021,Dan + Shay,144760,False
65,Lonely,Justin Bieber and Benny Blanco,2021,Justin Bieber,149189,True
66,Beggin',Måneskin,2021,Måneskin,211560,False
67,Streets,Doja Cat,2021,Doja Cat,226978,True
68,What's Next,Drake,2021,Drake,178153,True
69,Famous Friends,Chris Young and Kane Brown,2021,Chris Young,166506,False
70,Lil Bit,Nelly and Florida Georgia Line,2021,Nelly,195962,True
71,Thot Shit,Megan Thee Stallion,2021,Megan Thee Stallion,184634,True
72,Late at Night,Roddy Ricch,2021,Roddy Ricch,174549,True
73,Kings & Queens,Ava Max,2021,Ava Max,162398,False
74,Anyone,Justin Bieber,2021,Justin Bieber,190779,False
75,Track Star,Mooski,2021,Mooski,199706,True
76,Time Today,Moneybagg Yo,2021,Moneybagg Yo,136899,True
77,Cry Baby,Megan Thee Stallion featuring DaBaby,2021,Megan Thee Stallion,137983,True
78,All I Want for Christmas Is You,Mariah Carey,2021,Mariah Carey,241562,False
79,No More Parties,Coi Leray featuring Lil Durk,2021,Coi Leray,140920,True
80,What's Your Country Song,Thomas Rhett,2021,Thomas Rhett,171333,False
81,One Too Many,Keith Urban and Pink,2021,Keith Urban,203893,False
82,Arcade,Duncan Laurence,2021,Duncan Laurence,183624,False
83,Yonaguni,Bad Bunny,2021,Bad Bunny,206710,True
84,Good Time,Niko Moon,2021,Niko Moon,214720,False
85,If I Didn't Love You,Jason Aldean and Carrie Underwood,2021,Jason Aldean,212893,False
86,Knife Talk,Drake featuring 21 Savage and Project Pat,2021,Drake,242965,True
87,POV,Ariana Grande,2021,Ariana Grande,201882,False
88,Just the Way,Parmalee and Blanco Brown,2021,Parmalee,193880,False
89,Take My Breath,The Weeknd,2021,The Weeknd,339023,False
90,We're Good,Dua Lipa,2021,Dua Lipa,165506,False
91,Hell of a View,Eric Church,2021,Eric Church,175026,False
92,Rockin' Around the Christmas Tree,Brenda Lee,2021,Brenda Lee,126266,False
93,Put Your Records On,Ritt Momney,2021,Ritt Momney,210463,False
94,Happier Than Ever,Billie Eilish,2021,Billie Eilish,298899,True
95,Single Saturday Night,Cole Swindell,2021,Cole Swindell,189960,False
96,Things a Man Oughta Know,Lainey Wilson,2021,Lainey Wilson,203373,False
97,Throat Baby (Go Baby),BRS Kash,2021,BRS Kash,218181,True
98,Tombstone,Rod Wave,2021,Rod Wave,160078,True
99,Drinkin' Beer. Talkin' God. Amen.,Chase Rice featuring Florida Georgia Line,2021,Chase Rice,160839,False
100,Todo de Ti,Rauw Alejandro,2021,Rauw Alejandro,199604,True
1,Heat Waves,Glass Animals,2022,Glass Animals,238805,False
2,As It Was,Harry Styles,2022,Harry Styles,167303,False
3,Stay,The Kid Laroi and Justin Bieber,2022,The Kid Laroi,141805,True
4,Easy on Me,Adele,2022,Adele,224694,False
5,Shivers,Ed Sheeran,2022,Ed Sheeran,207853,False
6,First Class,Jack Harlow,2022,Jack Harlow,173947,True
7,Big Energy,Latto,2022,Latto,173182,True
8,Ghost,Justin Bieber,2022,Justin Bieber,153190,False
9,Super Gremlin,Kodak Black,2022,Kodak Black,200547,True
10,Cold Heart (Pnau Remix),Elton John and Dua Lipa,2022,Elton John,202735,False
11,Wait for U,Future featuring Drake and Tems,2022,Future,189893,True
12,About Damn Time,Lizzo,2022,Lizzo,191937,False
13,Bad Habits,Ed Sheeran,2022,Ed Sheeran,230746,False
14,Thats What I Want,Lil Nas X,2022,Lil Nas X,143901,True
15,Enemy,Imagine Dragons and JID,2022,Imagine Dragons,173381,False
16,Industry Baby,Lil Nas X and Jack Harlow,2022,Lil Nas X,212000,True
17,ABCDEFU,Gayle,2022,Gayle,168601,True
18,Need to Know,Doja Cat,2022,Doja Cat,210560,True
19,Wasted on You,Morgan Wallen,2022,Morgan Wallen,178520,False
20,Me Porto Bonito,Bad Bunny and Chencho Corleone,2022,Bad Bunny,178567,True
21,Woman,Doja Cat,2022,Doja Cat,172626,True
22,Tití Me Preguntó,Bad Bunny,2022,Bad Bunny,243716,True
23,Running Up That Hill (A Deal with God),Kate Bush,2022,Kate Bush,298933,False
24,We Don't Talk About Bruno,"Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz and the Encanto cast",2022,Carolina Gaitán,216120,False
25,Late Night Talking,Harry Styles,2022,Harry Styles,177954,False
26,I Like You (A Happier Song),Post Malone featuring Doja Cat,2022,Post Malone,192840,True
27,You Proof,Morgan Wallen,2022,Morgan Wallen,157477,False
28,Bad Habit,Steve Lacy,2022,Steve Lacy,232114,True
29,Sunroof,Nicky Youre and Dazy,2022,Nicky Youre,163025,False
30,One Right Now,Post Malone and the Weeknd,2022,Post Malone,193506,True
31,Good 4 U,Olivia Rodrigo,2022,Olivia Rodrigo,178146,True
32,Numb Little Bug,Em Beihold,2022,Em Beihold,169237,False
33,Jimmy Cooks,Drake featuring 21 Savage,2022,Drake,218364,True
34,'Til You Can't,Cody Johnson,2022,Cody Johnson,224213,False
35,Fancy Like,Walker Hayes,2022,Walker Hayes,161853,False
36,The Kind of Love We Make,Luke Combs,2022,Luke Combs,224435,False
37,I Ain't Worried,OneRepublic,2022,OneRepublic,148485,False
38,Break My Soul,Beyoncé,2022,Beyoncé,278281,False
39,Something in the Orange,Zach Bryan,2022,Zach Bryan,228013,False
40,Save Your Tears,The Weeknd and Ariana Grande,2022,The Weeknd,215626,True
41,Smokin out the Window,Silk Sonic (Bruno Mars and Anderson .Paak),2022,Silk Sonic (Bruno Mars,197442,False
42,Levitating,Dua Lipa,2022,Dua Lipa,203807,False
43,In a Minute,Lil Baby,2022,Lil Baby,200470,True
44,Moscow Mule,Bad Bunny,2022,Bad Bunny,245939,True
45,You Right,Doja Cat and the Weeknd,2022,Doja Cat,186173,True
46,She Had Me at Heads Carolina,Cole Swindell,2022,Cole Swindell,206106,False
47,Vegas,Doja Cat,2022,Doja Cat,183026,True
48,Pushin P,Gunna and Future featuring Young Thug,2022,Gunna,136266,False
49,Buy Dirt,Jordan Davis and Luke Bryan,2022,Jordan Davis,167480,False
50,I Hate U,SZA,2022,SZA,174000,True
51,Boyfriend,Dove Cameron,2022,Dove Cameron,153000,True
52,Glimpse of Us,Joji,2022,Joji,233453,False
53,Surface Pressure,Jessica Darrow,2022,Jessica Darrow,202226,False
54,Fall in Love,Bailey Zimmerman,2022,Bailey Zimmerman,232058,False
55,Love Nwantiti (Ah Ah Ah),CKay,2022,CKay,145800,True
56,Super Freaky Girl,Nicki Minaj,2022,Nicki Minaj,170977,True
57,Hrs and Hrs,Muni Long,2022,Muni Long,177692,False
58,Sand in My Boots,Morgan Wallen,2022,Morgan Wallen,202133,False
59,Mamiii,Becky G and Karol G,2022,Becky G,226088,False
60,Knife Talk,Drake featuring 21 Savage and Project Pat,2022,Drake,242965,True
61,AA,Walker Hayes,2022,Walker Hayes,189560,False
62,Sweetest Pie,Megan Thee Stallion and Dua Lipa,2022,Megan Thee Stallion,201334,True
63,Provenza,Karol G,2022,Karol G,207626,False
64,Essence,Wizkid featuring Justin Bieber and Tems,2022,Wizkid,249033,False
65,All I Want for Christmas Is You,Mariah Carey,2022,Mariah Carey,241562,False
66,Bam Bam,Camila Cabello featuring Ed Sheeran,2022,Camila Cabello,205604,False
67,5 Foot 9,Tyler Hubbard,2022,Tyler Hubbard,189780,False
68,Get Into It (Yuh),Doja Cat,2022,Doja Cat,138293,True
69,Efecto,Bad Bunny,2022,Bad Bunny,213061,True
70,Rock and a Hard Place,Bailey Zimmerman,2022,Bailey Zimmerman,207540,False
71,Doin' This,Luke Combs,2022,Luke Combs,254181,False
72,Oh My God,Adele,2022,Adele,225148,False
73,Better Days,"Neiked, Mae Muller and Polo G",2022,Neiked,160656,False
74,Meet Me at Our Spot,The Anxiety: Willow and Tyler Cole,2022,The Anxiety,162680,True
75,Fingers Crossed,Lauren Spencer-Smith,2022,Lauren Spencer-Smith,175344,False
76,All Too Well (Taylor's Version),Taylor Swift,2022,Taylor Swift,329160,False
77,Party,Bad Bunny and Rauw Alejandro,2022,Bad Bunny,227628,True
78,Después de la Playa,Bad Bunny,2022,Bad Bunny,230400,False
79,You Should Probably Leave,Chris Stapleton,2022,Chris Stapleton,213493,False
80,Rockin' Around the Christmas Tree,Brenda Lee,2022,Brenda Lee,126266,False
81,Broadway Girls,Lil Durk featuring Morgan Wallen,2022,Lil Durk,185600,False
82,Take My Name,Parmalee,2022,Parmalee,157906,False
83,What Happened to Virgil,Lil Durk featuring Gunna,2022,Lil Durk,181393,True
84,Puffin on Zootiez,Future,2022,Future,172933,True
85,Like I Love Country Music,Kane Brown,2022,Kane Brown,234800,False
86,Jingle Bell Rock,Bobby Helms,2022,Bobby Helms,130973,False
87,Ojitos Lindos,Bad Bunny and Bomba Estéreo,2022,Bad Bunny,258298,False
88,Trouble with a Heartbreak,Jason Aldean,2022,Jason Aldean,196026,False
89,A Holly Jolly Christmas,Burl Ives,2022,Burl Ives,135533,False
90,Kiss Me More,Doja Cat featuring SZA,2022,Doja Cat,208666,True
91,She Likes It,Russell Dickerson featuring Jake Scott,2022,Russell Dickerson,163311,False
92,Never Say Never,Cole Swindell and Lainey Wilson,2022,Cole Swindell,176146,False
93,Damn Strait,Scotty McCreery,2022,Scotty McCreery,230226,False
94,She's All I Wanna Be,Tate McRae,2022,Tate McRae,207123,False
95,Last Night Lonely,Jon Pardi,2022,Jon Pardi,182161,False
96,Flower Shops,Ernest featuring Morgan Wallen,2022,Ernest,214405,False
97,To the Moon,Jnr Choi and Sam Tompkins,2022,Jnr Choi,152137,True
98,Unholy,Sam Smith and Kim Petras,2022,Sam Smith,156943,False
99,One Mississippi,Kane Brown,2022,Kane Brown,214293,False
100,Circles Around This Town,Maren Morris,2022,Maren Morris,195763,False
1,Last Night,Morgan Wallen,2023,Morgan Wallen,163854,True
2,Flowers,Miley Cyrus,2023,Miley Cyrus,200600,False
3,Kill Bill,SZA,2023,SZA,153946,False
4,Anti-Hero,Taylor Swift,2023,Taylor Swift,200690,False
5,Creepin',"Metro Boomin, the Weeknd and 21 Savage",2023,Metro Boomin,221520,True
6,Calm Down,Rema and Selena Gomez,2023,Rema,219813,False
7,Die for You,The Weeknd and Ariana Grande,2023,The Weeknd,260252,False
8,Fast Car,Luke Combs,2023,Luke Combs,265284,False
9,Snooze,SZA,2023,SZA,201800,True
10,I'm Good (Blue),David Guetta and Bebe Rexha,2023,David Guetta,175238,True
11,Unholy,Sam Smith and Kim Petras,2023,Sam Smith,156943,False
12,You Proof,Morgan Wallen,2023,Morgan Wallen,157477,False
13,Something in the Orange,Zach Bryan,2023,Zach Bryan,228013,False
14,Rich Flex,Drake and 21 Savage,2023,Drake,239359,True
15,As It Was,Harry Styles,2023,Harry Styles,167303,False
16,Rock and a Hard Place,Bailey Zimmerman,2023,Bailey Zimmerman,207540,False
17,Under the Influence,Chris Brown,2023,Chris Brown,184203,True
18,Cruel Summer,Taylor Swift,2023,Taylor Swift,178426,False
19,Thinkin' Bout Me,Morgan Wallen,2023,Morgan Wallen,177387,False
20,Boy's a Liar Pt. 2,PinkPantheress and Ice Spice,2023,PinkPantheress,131013,True
21,Favorite Song,Toosii,2023,Toosii,208630,False
22,Thought You Should Know,Morgan Wallen,2023,Morgan Wallen,215571,True
23,Thank God,Kane Brown and Katelyn Brown,2023,Kane Brown,174560,False
24,Sure Thing,Miguel,2023,Miguel,195373,False
25,All My Life,Lil Durk featuring J. Cole,2023,Lil Durk,223878,True
26,Ella Baila Sola,Eslabon Armado and Peso Pluma,2023,Eslabon Armado,165671,False
27,Karma,Taylor Swift featuring Ice Spice,2023,Taylor Swift,204852,True
28,Just Wanna Rock,Lil Uzi Vert,2023,Lil Uzi Vert,123890,True
29,Cuff It,Beyoncé,2023,Beyoncé,225388,True
30,Vampire,Olivia Rodrigo,2023,Olivia Rodrigo,219724,True
31,FukUMean,Gunna,2023,Gunna,125040,True
32,Lavender Haze,Taylor Swift,2023,Taylor Swift,202395,True
33,Players,Coi Leray,2023,Coi Leray,139560,True
34,Need a Favor,Jelly Roll,2023,Jelly Roll,197400,False
35,Dance the Night,Dua Lipa,2023,Dua Lipa,176579,False
36,Love You Anyway,Luke Combs,2023,Luke Combs,229424,False
37,One Thing at a Time,Morgan Wallen,2023,Morgan Wallen,206864,False
38,Superhero (Heroes & Villains),"Metro Boomin, Future and Chris Brown",2023,Metro Boomin,182666,True
39,Bad Habit,Steve Lacy,2023,Steve Lacy,232114,True
40,La Bebé,Yng Lvcas and Peso Pluma,2023,Yng Lvcas,223992,False
41,Golden Hour,Jvke,2023,Jvke,209259,False
42,Religiously,Bailey Zimmerman,2023,Bailey Zimmerman,178723,False
43,Spin Bout U,Drake and 21 Savage,2023,Drake,214588,True
44,Cupid,Fifty Fifty,2023,Fifty Fifty,174253,False
45,Search & Rescue,Drake,2023,Drake,272112,True
46,Barbie World,Nicki Minaj and Ice Spice with Aqua,2023,Nicki Minaj,109750,True
47,Next Thing You Know,Jordan Davis,2023,Jordan Davis,175237,False
48,Escapism,Raye featuring 070 Shake,2023,Raye,272373,True
49,Un x100to,Grupo Frontera and Bad Bunny,2023,Grupo Frontera,194563,False
50,Until I Found You,Stephen Sanchez,2023,Stephen Sanchez,177720,False
51,Shirt,SZA,2023,SZA,181840,True
52,Paint the Town Red,Doja Cat,2023,Doja Cat,231750,True
53,Made You Look,Meghan Trainor,2023,Meghan Trainor,134256,False
54,Wait in the Truck,Hardy featuring Lainey Wilson,2023,Hardy,277659,False
55,All I Want for Christmas Is You,Mariah Carey,2023,Mariah Carey,241562,False
56,Everything I Love,Morgan Wallen,2023,Morgan Wallen,187047,False
57,Chemical,Post Malone,2023,Post Malone,183410,False
58,Heart Like a Truck,Lainey Wilson,2023,Lainey Wilson,199040,False
59,"Going, Going, Gone",Luke Combs,2023,Luke Combs,177244,False
60,Rockin' Around the Christmas Tree,Brenda Lee,2023,Brenda Lee,126266,False
61,Dancin' in the Country,Tyler Hubbard,2023,Tyler Hubbard,179640,False
